,Corner,D0,D1,D2,D3,D4,D5,D6,D7,V1,V2,V3,V4,V5,V6,V7,V8,V9
x,,,,,,,,,,7.66E-08,4.75E-07,9.05E-07,1.40E-06,1.95E-06,2.47E-06,2.96E-06,3.42E-06,4.00E-06
/Vout,,,,,,,,,,,,,,,,,,
/Vout,C0,0,0,0,0,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,nom,0,0,0,0,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C1,1,0,0,0,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C2,1,1,0,0,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C3,1,1,1,0,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C4,1,1,1,1,0,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C5,1,1,1,1,1,0,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C6,1,1,1,1,1,1,0,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C7,1,1,1,1,1,1,1,0,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
/Vout,C8,1,1,1,1,1,1,1,1,0,0.068270816,0.136671991,0.204856636,0.275453869,0.345389891,0.413673764,0.479732671,0.546337694
